學號,班一般名次,班一般人數,平均成績,鎖定排名,系所名稱,系一般名次,系一般人數,年級班別,組別,組一般名次,成績是否全到,班名次,班人數,系名次,系人數,組名次,組人數,學年
ac5881d08800cd8922179468941555d30bd4afd08cba50e2c44d8b1c1ceeadb3,"4  ","48 ",87.62,未鎖定,法國語文學系,"4  ","48 ",4年級,,,成績全到,"3  ","47 ","3  ","47 ",,,103
e7617eba6a19e8bb9ea233649820f7f7b4f4a2503197fd15034d710e098f47da,"42 ","48 ",73.32,未鎖定,法國語文學系,"42 ","48 ",4年級,,,成績全到,"41 ","47 ","41 ","47 ",,,103
34d634c9b4515f185c5a7e72d4b709d3b7a337ab15f657c1d3046c9d023379db,"14 ","48 ",84.07,未鎖定,法國語文學系,"14 ","48 ",4年級,,,成績全到,"13 ","47 ","13 ","47 ",,,103
5add195a28e87c05a08a017f32550dc9b6660bcd7485b38f5a0e366ad8499846,"29 ","48 ",78.48,未鎖定,法國語文學系,"29 ","48 ",4年級,,,成績全到,"28 ","47 ","28 ","47 ",,,103
92c2a2590c25699f46559e2ea22660848e640d9348b21d60cc19ef98ecb4523e,"10 ","48 ",84.89,未鎖定,法國語文學系,"10 ","48 ",4年級,,,部分未到,"9  ","47 ","9  ","47 ",,,103
53a7b049e78e79e07a3210be43cc6251944fb910b805d4b1871e99ad046572be,"18 ","48 ",81.71,未鎖定,法國語文學系,"18 ","48 ",4年級,,,成績全到,"17 ","47 ","17 ","47 ",,,103
cff1f964e79be81337e586e51af202fec7323e7325feed7b7d61042321cd0948,"27 ","48 ",78.85,未鎖定,法國語文學系,"27 ","48 ",4年級,,,成績全到,"26 ","47 ","26 ","47 ",,,103
dd5cd8f75b2145e85ec335bf5a0570fea5fe6bad608c649c39fa10ee39bcf376,"41 ","48 ",74.69,未鎖定,法國語文學系,"41 ","48 ",4年級,,,成績全到,"40 ","47 ","40 ","47 ",,,103
514b1b7c341e31d34d553f5ff8badd3983d81c2a78bb010d9e79ebf3367b2364,"46 ","48 ",69.82,未鎖定,法國語文學系,"46 ","48 ",4年級,,,成績全到,"45 ","47 ","45 ","47 ",,,103
0cc4924feb26bbaa1c041e47db51653bd0fbbc8d91baf14bd3bfd7caa6293839,"26 ","48 ",79.11,未鎖定,法國語文學系,"26 ","48 ",4年級,,,成績全到,"25 ","47 ","25 ","47 ",,,103
